id,name,full_name,language,new stars,description,forks_count,stargazers_count,avatar_url
49609581,PowerShell,PowerShell/PowerShell,C#,114,PowerShell for every system!,4807,30560,https://avatars.githubusercontent.com/u/11524380?v=4
17620347,aspnetcore,dotnet/aspnetcore,C#,15,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",7061,26360,https://avatars.githubusercontent.com/u/9141961?v=4
70104825,eShopOnContainers,dotnet-architecture/eShopOnContainers,C#,11,"Cross-platform .NET sample microservices and container based application that runs on Linux Windows and macOS. Powered by .NET 5, Docker Containers and Azure Kubernetes Services. Supports Visual Studio, VS for Mac and CLI based environments with Docker CLI, dotnet CLI, VS Code or any other code editor.",8102,19107,https://avatars.githubusercontent.com/u/27453006?v=4
29078997,roslyn,dotnet/roslyn,C#,20,The Roslyn .NET compiler provides C# and Visual Basic languages with rich code analysis APIs.,3449,15157,https://avatars.githubusercontent.com/u/9141961?v=4
262395224,maui,dotnet/maui,C#,54,".NET MAUI is the .NET Multi-platform App UI, a framework for building native device applications spanning mobile, tablet, and desktop.",564,12334,https://avatars.githubusercontent.com/u/9141961?v=4
102904613,ml-agents,Unity-Technologies/ml-agents,C#,5,Unity Machine Learning Agents Toolkit,3199,11949,https://avatars.githubusercontent.com/u/426196?v=4
16157746,efcore,dotnet/efcore,C#,6,"EF Core is a modern object-database mapper for .NET. It supports LINQ queries, change tracking, updates, and schema migrations.",2658,10746,https://avatars.githubusercontent.com/u/9141961?v=4
28239455,AspNetCore.Docs,dotnet/AspNetCore.Docs,C#,5,Documentation for ASP.NET Core,23028,9826,https://avatars.githubusercontent.com/u/9141961?v=4
126486701,UnityCsReference,Unity-Technologies/UnityCsReference,C#,9,Unity C# reference source code.,1829,8422,https://avatars.githubusercontent.com/u/426196?v=4
75990888,csharplang,dotnet/csharplang,C#,40,The official repo for the design of the C# programming language,833,7825,https://avatars.githubusercontent.com/u/9141961?v=4
210716005,runtime,dotnet/runtime,C#,17,".NET is a cross-platform runtime for cloud, mobile, desktop, and IoT apps.",2494,7448,https://avatars.githubusercontent.com/u/9141961?v=4
213460285,CleanArchitecture,jasontaylordev/CleanArchitecture,C#,29,Clean Architecture Solution Template for .NET 6,1528,6809,https://avatars.githubusercontent.com/u/1988321?u=f96f36eed8f5bc57c4aab7213306f960efc072b1&v=4
41822320,NSwag,RicoSuter/NSwag,C#,2,"The Swagger/OpenAPI toolchain for .NET, ASP.NET Core and TypeScript. ",900,4696,https://avatars.githubusercontent.com/u/2603405?u=eaf8de2141873385ae3d6c2cefb7afefabd8c78d&v=4
19216825,xamarin-forms-samples,xamarin/xamarin-forms-samples,C#,1,Sample apps built using the Xamarin.Forms framework,6834,3994,https://avatars.githubusercontent.com/u/790012?v=4
245235133,reverse-proxy,microsoft/reverse-proxy,C#,55,A toolkit for developing high-performance HTTP reverse proxy applications.,372,3926,https://avatars.githubusercontent.com/u/6154722?v=4
153711830,winforms,dotnet/winforms,C#,5,Windows Forms is a .NET UI framework for building Windows desktop applications.,644,3257,https://avatars.githubusercontent.com/u/9141961?v=4
2928944,azure-sdk-for-net,Azure/azure-sdk-for-net,C#,3,This repository is for active development of the Azure SDK for .NET. For consumers of the SDK we recommend visiting our public developer docs at https://docs.microsoft.com/en-us/dotnet/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-net. ,3058,2993,https://avatars.githubusercontent.com/u/6844498?v=4
375939072,FastGithub,dotnetcore/FastGithub,C#,72,github加速神器，解决github打不开、用户头像无法加载、releases无法上传下载、git-clone、git-pull、git-push失败等问题,337,2720,https://avatars.githubusercontent.com/u/19404084?v=4
166270225,blazor-workshop,dotnet-presentations/blazor-workshop,C#,4,Blazor workshop,1072,2476,https://avatars.githubusercontent.com/u/31487945?v=4
176523594,Remotely,immense/Remotely,C#,5,"A remote control and remote scripting solution, built with .NET 5, Blazor, SignalR Core, and WebRTC.",1014,2161,https://avatars.githubusercontent.com/u/5091859?v=4
63984307,sdk,dotnet/sdk,C#,6,"Core functionality needed to create .NET Core projects, that is shared between Visual Studio and CLI",551,1558,https://avatars.githubusercontent.com/u/9141961?v=4
53052789,azure-pipelines-agent,microsoft/azure-pipelines-agent,C#,2,Azure Pipelines Agent 🚀,724,1256,https://avatars.githubusercontent.com/u/6154722?v=4
332061101,upgrade-assistant,dotnet/upgrade-assistant,C#,8,A tool to assist developers in upgrading .NET Framework applications to .NET 6 and beyond,57,494,https://avatars.githubusercontent.com/u/9141961?v=4
155624003,AspNetDocs,dotnet/AspNetDocs,C#,0,Documentation for ASP.NET 4.x,933,200,https://avatars.githubusercontent.com/u/9141961?v=4
281189664,azure-functions-dotnet-worker,Azure/azure-functions-dotnet-worker,C#,0,Azure Functions out-of-process .NET language worker,39,141,https://avatars.githubusercontent.com/u/6844498?v=4
